Dog_Name,Dog_Breed,Neighborhood
Baxter,Beagle,West Cambridge
Baxter (Bagle),Beagle,Cambridge Highlands
Bay,Pit,Cambridgeport
Baylee,Labrador Retriever Mix,Neighborhood Nine
Baylee,Border Collie,Cambridge Highlands
Bayles,German Shepherd,West Cambridge
Bayou,Catahoula,West Cambridge
Bazel,Keesehound,Neighborhood Nine
Bea,Pug,Mid-Cambridge
Beagle,Beagle,Neighborhood Nine
Beale,Beagle,Neighborhood Nine
Beamer,Golden Retriever,Cambridge Highlands
Beamer,Pit Bull,Cambridgeport
Beans,Lab / Shep,Neighborhood Nine
Bear,Labrador Retriever,West Cambridge
Bear,Hound,Neighborhood Nine
Bear,Yorkshier Terrier,Neighborhood Nine
Bear,Miniature Poodle,West Cambridge
Bear,Mix,West Cambridge
Bear,Chihuahua,Mid-Cambridge
Bear,Bernese Mountain Dog,Agassiz
Bear,Schnoodle,Neighborhood Nine
Bear,Labrador Retriever Mix,West Cambridge
Beasley,Border Collie,East Cambridge
Beasley,Beagle,North Cambridge
Beatrice,Golden Retriever,Neighborhood Nine
Beatrice,Boxer Mix,East Cambridge
Beatrice,Mix,Mid-Cambridge
Beatrix,Schnoodle,Cambridge Highlands
Beau,Golden Retriever,West Cambridge
Beau,Bernese & Border Mix,Neighborhood Nine
Beau,Chihuahua,Cambridgeport
Beau,Shih Tzu,The Port
Beau,Hound,North Cambridge
Beau,Bernese Mountain Dog,West Cambridge
Beau,Labrador Retriever,Neighborhood Nine
Beau,German Shepherd,Mid-Cambridge
Beau,Cavalier King Charles Spaniel,Agassiz
Beaucoup,Mix,Riverside
Beau Green,Standard Poodle,Wellington-Harrington
Beau Kirpalani,Golden Doodle Mini,Agassiz
Beba,Pekingese Mix,Cambridgeport
Bebe,Chihuahua,East Cambridge
Beckett,Carolina Dog,Mid-Cambridge
Becky,Chihuahua,Strawberry Hill
Becky,Affenpinscher,Neighborhood Nine
Becky,,Cambridge Highlands
Bee,Maltese,The Port
Bee,Labrador Retriever,East Cambridge
Beemo,Dachshund,Mid-Cambridge
Beethoven,Peekapoo,The Port
Beezus,Shi Tsu / Terrier / Mix,Agassiz
Behr,Labrador Retriver,North Cambridge
Bekka,Toy Poodle,West Cambridge
Bela,Vizsla,Neighborhood Nine
Belinda,Labradoodle,Neighborhood Nine
Bella,Maltese,The Port
Bella,Chihuahua,North Cambridge
Bella,German Shepherd,Neighborhood Nine
Bella,German Shepherd,Neighborhood Nine
Bella,Golden Doodle,Riverside
Bella,Labrabor Retriever,East Cambridge
Bella,Miniature Schnauzer,Cambridgeport
Bella,Yorkiepoo,The Port
Bella,Great Pyrenees,East Cambridge
Bella,Chow,Mid-Cambridge
Bella,Poodle,West Cambridge
Bella,West Highland White Terrier,North Cambridge
Bella,Labrador Retriever,East Cambridge
Bella,Dalmation,Strawberry Hill
Bella,Maltese,Cambridgeport
Bella,Maltese Shih Tzu,Cambridgeport
Bella,Terrier,North Cambridge
Bella,Cocker Spaniel,East Cambridge
Bella,Yorksire Terrier,Wellington-Harrington
Bella,Yorkie Terrier,Wellington-Harrington
Bella,Labradoddle,West Cambridge
Bella,Pomeranian,Neighborhood Nine
Bella,Hound Mix,Neighborhood Nine
Bella,Schnoodle,Cambridgeport
Bella,Labrador Retriever,Agassiz
Bella,Shep,Agassiz
Bella,Beagle,Mid-Cambridge
Bella,Golden Doodle,West Cambridge
Bella,German Shepard,West Cambridge
Bella,Chihuahua,North Cambridge
Bella,Yorkie Terrier,Cambridgeport
Bella,Pit Bull,East Cambridge
Bella,Maltese,Cambridgeport
Bella,Hound,Neighborhood Nine
Bella,Goldendoodle,Wellington-Harrington
Bella,Cairn Terrier,West Cambridge
Bella,Yorksire Terrier,North Cambridge
Bella,Dachshund,East Cambridge
Bella,Pug,West Cambridge
Bella,Maltese,West Cambridge
Bella,Australian Shepherd,Cambridgeport
Bella,Pit Bull,Wellington-Harrington
Bella,German Shorthair Pointer,East Cambridge
Bella,Chihuahua,Neighborhood Nine
Bella,Labradoddle,Mid-Cambridge
Bella,Bulldog,Mid-Cambridge
Bella,Scottish Terrier,Neighborhood Nine
Bella,Toy Poodle,North Cambridge
Bella,Bernese Mountain Dog,Riverside
Bella,Italian Greyhould,Cambridgeport
Bella,Beagle,West Cambridge
Bella Benson,Lab,Neighborhood Nine
Bella Pezze,Boston Terrier,East Cambridge
Belle,Labrador Retriever Mix,East Cambridge
Belle,Labrador Retriever,Neighborhood Nine
Belle,Husky,Cambridgeport
Belle,Pomeranian,Cambridgeport
Belle,Dachshund,North Cambridge
Belle,Lab Mix,Wellington-Harrington
Belle,Cocker Span Mix,Neighborhood Nine
Belle,Hound,North Cambridge
Bellina,Italian Grey Hound,Neighborhood Nine
Bellman Ford,Goldedoodle,Cambridgeport
Belmont,Beagle,West Cambridge
Ben,Border Collie,East Cambridge
Ben,Miniature Poodle,West Cambridge
Ben,Standard Poodle,Cambridge Highlands
Ben,Border Collie,Cambridgeport
Ben Alan Donatello,Poodle,Cambridge Highlands
Benji,Entlebucher Sennenhund,Neighborhood Nine
Benji,Schnauzer,North Cambridge
Benji,Soft Coated Wheaten Terrier,West Cambridge
Benji,Soft C.Wheaton Ter,West Cambridge
Benjy,English Shepherd,Agassiz
Bennie,Yorkiepoo,The Port
Benny,Dachshund,The Port
Benny,Labrador Retriever,Neighborhood Nine
Benny,Beagle,Neighborhood Nine
Benny,Cocker Spaniel,Mid-Cambridge
Benny,Yorkshire Terrier,Mid-Cambridge
Benny,Bichon Frise,Agassiz
Benson,Plott Hound Mix,East Cambridge
Bentley,Pointer,North Cambridge
Bentley,Sheltie,Mid-Cambridge
Bentley,,East Cambridge
Bentley,Black Lab Mix,East Cambridge
Bentley,Terrier,Mid-Cambridge
Bentley,Chihuaha,Cambridgeport
Bentley,Lab Mix,Cambridgeport
Bentley,Yorksire Terrier,Wellington-Harrington
Bently,Shih Tzu,Neighborhood Nine
