Dog_Name,Dog_Breed,Neighborhood
Buddha,Chihuahua,West Cambridge
Buddha,Chihuahua,West Cambridge
Buddy,American Pit Bull Terr,Wellington-Harrington
Buddy,Pug,North Cambridge
Buddy,Shih Tzu,Mid-Cambridge
Buddy,Labrador Retriever,North Cambridge
Buddy,Manchester Terrier,East Cambridge
Buddy,Beagle,Agassiz
Buddy,Bichon Frise,Cambridgeport
Buddy,Maltipoo,Riverside
Buddy,Cocker Spaniel,Area 2/MIT
Buddy,Labrador Retriever,Cambridgeport
Buddy,Labrador Retriever Mix,North Cambridge
Buddy,Dachshund Mix,Cambridgeport
Buddy,Pointer,Wellington-Harrington
Buddy,Shep,East Cambridge
Buddy,Pomerainian,Mid-Cambridge
Buddy,Pug Chihuahua,North Cambridge
Buddy,Bichon Frise,North Cambridge
Buddy,Lab Mix,Mid-Cambridge
Buddy,Yorksire Terrier,East Cambridge
Buddy,Spaniel,North Cambridge
Buddy,Dachshund,Agassiz
Buddy,Great Pyrenese,Neighborhood Nine
Buffy,Pitbull Mix,North Cambridge
Buffy,Greyhound,Wellington-Harrington
Bug,Boston Terr,North Cambridge
Buggs,Staffordshire Terrier,Cambridge Highlands
Bugs,American Bull Dog,Cambridgeport
Bugsy,Pit Bull Mix,Wellington-Harrington
Bumper,Labradoddle,Mid-Cambridge
Bunk,Toy Australian Shepherd,East Cambridge
Bunker,Wheaten Terrier,Neighborhood Nine
Bunker,Springer Spaniel,Riverside
Bunny,Miniature Poodle,Neighborhood Nine
Buoy,Golden Retriever,West Cambridge
Burbuja,Toy Poodle,Mid-Cambridge
Burdick,Labrador Retriever,Mid-Cambridge
Buri,Thai Mix,North Cambridge
Burtie,Welsh Terrier,West Cambridge
Bustah,Dachshund,East Cambridge
Buster,Brittany Spaniel,Strawberry Hill
Buster,Shih Tzu,NA
Buster,Boston Terrier,East Cambridge
Buster,Jack Russel Terrier,North Cambridge
Busy,Cairn Terr.,Cambridgeport
Busy,Cairn Terrier,Cambridgeport
Buttercup,BOSTON TERRIER,East Cambridge
Buttercup,Beagle/Dachshund Mix,West Cambridge
Buttercup,Mix,North Cambridge
Butters,Pug,East Cambridge
Cadence,German Shepherd Mix,North Cambridge
Caico,Lab,East Cambridge
Caico,Labrabor Retriever,East Cambridge
Caleb,West Highland White Terrier,Wellington-Harrington
Caliban,Bearded Collie,Neighborhood Nine
Callie,Golden Retriever,North Cambridge
Callie,Shih Tzu,North Cambridge
Callie,Beagle,Wellington-Harrington
Callie,Beagle,Mid-Cambridge
Callie,Beagle,Wellington-Harrington
Callie,Mutt-Shepherd Mix,Cambridgeport
Callie,Sato,Neighborhood Nine
Callie,Hound,West Cambridge
Callie,Labrador Retriever,Cambridge Highlands
Callie,Miniature Pinscher,East Cambridge
Callie,Beagle Mix,Riverside
Callie,Dachshund/Pinscher,East Cambridge
Calliope,Whippet,Riverside
Calliope,Labrador Retriever,West Cambridge
Callisto,Labrador Retriever,West Cambridge
Calypso,Boxer,East Cambridge
Calypso,Mix,West Cambridge
Cambridge,Beagle,West Cambridge
Camila,Chihuahua Mix,Cambridgeport
Cammi,Portuguese Water Dog,West Cambridge
Candy,Toy Poodle,East Cambridge
Canela,German Shepherd,North Cambridge
Cannoli,Shih -Tzu,East Cambridge
Cannoli,Hound Mix,Strawberry Hill
Canoli,Shih Tzu,Strawberry Hill
Canto,Siberian Husky,Mid-Cambridge
Capone,Pit Bull,Cambridgeport
Captain,Labrador Retriever,Cambridgeport
Captain Marvel,Jack Russel Terrier,West Cambridge
Captin,Labrador Retriever,Wellington-Harrington
Carino,Terrier Mix,Riverside
Carley,Brittany Spaniel,North Cambridge
Carley,Golden Retriever,North Cambridge
Carlisle,American Foxhound,North Cambridge
Carlo,Miniature Poodle,The Port
Carlo,Dachshund,West Cambridge
Carlo,German Shepherd,The Port
Carlos,French Bulldog,Mid-Cambridge
Carlos,Puggle,East Cambridge
Carlton,Labrador Retriever,Neighborhood Nine
Carmello,Corgi Mix,East Cambridge
Carmelo,Vizsla,West Cambridge
Carson,Mix,West Cambridge
Casca,Beagle,Agassiz
Case,Golden Retriever,West Cambridge
Casey,Border Collie,Strawberry Hill
Casey,Pit Bull,Mid-Cambridge
Casey,Golden Doodle,Wellington-Harrington
Casey,Labrador Retriever,Mid-Cambridge
Casey,Border Collie,West Cambridge
Cash,Labrador Retriever,Wellington-Harrington
Casi,Yorkshire Terrier,The Port
Casper,Silky Terrier,Mid-Cambridge
Casper,Spaniel,Mid-Cambridge
Casper,Labrador Retriever,West Cambridge
Cassidy,Australian Shepherd,West Cambridge
Cassie,Corgi,Agassiz
Cassie,Golden Retriever,North Cambridge
Cassie,Labrador Retriever,West Cambridge
Cassius,Boxer,Neighborhood Nine
Cassius,Boxer,Mid-Cambridge
Cassius,Boxer,North Cambridge
Cati,Dachshund,Wellington-Harrington
Catie,Labrador Retriever,West Cambridge
Cato,Jack Russell Terrier,NA
Cato,Golden Doodle,Cambridgeport
Cauchy,Border Collie,Mid-Cambridge
Caz,Golden Doodle,West Cambridge
Ceasar,Maltese,The Port
Cecilia Christina Steinhardt,Shih Tzu,Neighborhood Nine
Celeste,Poodle,Agassiz
Cello,Samoyed,West Cambridge
Cerberus,Terrier Mix,Neighborhood Nine
Chachi,Yorksire Terrier,Mid-Cambridge
Chadwick,Mix,The Port
Chai,Pit Bull,Mid-Cambridge
Chai,Golden Retriever,East Cambridge
Champ,Cocker Spaniel,Cambridgeport
Champ,Boxer Mix,Cambridgeport
Champ,Pit Bull,Wellington-Harrington
Chance,Hound,Wellington-Harrington
Chance,Papillon,Riverside
Chance,Dachshund,Strawberry Hill
Chance,Foxhound,Cambridgeport
Chance,Golden Doodle,Cambridge Highlands
Channing,Coonhound - Treeing Walker,Neighborhood Nine
Chappy,Golden Retriever,West Cambridge
Chaps,West Highland White Terrier,The Port
Charles,Great Dane,Agassiz
Charley,Lab / Shep,East Cambridge
Charley,,Riverside
Charley,Lab Chow Mix,The Port
Charley,Cavapoo,East Cambridge
Charli,Labrador Retriever,West Cambridge
Charlie,Korean Jindo,North Cambridge
Charlie,Labrador Retriever,The Port
Charlie,Labrador Retriever,The Port
Charlie,Labrabor Retriever,North Cambridge
Charlie,Labrador / Hound,Cambridgeport
Charlie,Yorkshire Maltese Mix,East Cambridge
Charlie,Yorksire Terrier,Neighborhood Nine
Charlie,Ret,The Port
Charlie,Boxer,North Cambridge
Charlie,Toy Poodle,Neighborhood Nine
Charlie,Schnauzer,Agassiz
Charlie,Golden Retriever,Neighborhood Nine
Charlie,Labrador Retriever,East Cambridge
Charlie,French Bulldog,East Cambridge
Charlie,West Highland White Terrier,East Cambridge
Charlie,Labrador Retriever,Riverside
Charlie,Golden Retriever,Cambridgeport
Charlie,Labrador Retriever,Mid-Cambridge
Charlie,Golden Doodle,Agassiz
Charlie,Hound,North Cambridge
Charlie,Labrador Retriever,Neighborhood Nine
Charlie,Morkie,West Cambridge
Charlie,Toy Fox Terrier,North Cambridge
Charlie,Labradoddle,West Cambridge
Charlie,Pomeranian,Cambridge Highlands
Charlie,Collie,Cambridgeport
Charlie,Labrabor Retriever,West Cambridge
Charlie,Border Collie Mix,Mid-Cambridge
Charlie,Border Terr,Cambridgeport
Charlie,Choc Lab Mix,Agassiz
Charlie,Min Australian Shepherd,Neighborhood Nine
Charlie,Collie,Agassiz
Charlie,Lhasa Apso,Wellington-Harrington
Charlie,Daschund,Agassiz
Charlie,Chihuahua,Cambridgeport
Charlie,Labrador Retriever,Neighborhood Nine
Charlie,Labrador Retriever,West Cambridge
Charlie,Mix,Riverside
Charlie,Shih Tzu,Neighborhood Nine
Charlie,West Highland White Terrier,North Cambridge
Charlie,Boxer,Cambridge Highlands
Charlie,Papillion Mix,Mid-Cambridge
Charlie,Border Collie,Cambridgeport
Charlie,Boston Terrier Mix,Mid-Cambridge
Charlie,German Shorthair Pointer,Strawberry Hill
Charlie,Boxer,West Cambridge
Charlie,Poodle,Mid-Cambridge
Charlie,Golden Retriever,East Cambridge
Charlie,Golden Retriever,Mid-Cambridge
Charlie Blonde,Labrador Retriever,Neighborhood Nine
Charlotte,Belgian Shepherd,Cambridgeport
Charlotte,Black Lab,Neighborhood Nine
Chauncey,Beagle,Mid-Cambridge
Chauncey,Lab,Cambridge Highlands
Chaz,Greyhound,Strawberry Hill
Che,Labradoodle,West Cambridge
Cheo,Cocker,East Cambridge
Cherokee,Lab Pointer Mix,North Cambridge
Chesney,Hound Mix,North Cambridge
Chessa,Tibetan Terrier,Mid-Cambridge
Chester,Border Terrier,West Cambridge
Chester,BOSTON TERRIER,NA
Chester,Border Terrier,West Cambridge
Chester,Schnoodle,Mid-Cambridge
Chester,Hound,Mid-Cambridge
Chester,Jrt,Neighborhood Nine
Chester,Border Terrier,West Cambridge
Chevy,American Bull Dog,North Cambridge
Chewbacca,Golden Retriever,North Cambridge
Chewie,Tibetan Spaniel,Cambridgeport
Chewy,Lhasa Apso,NA
Chewy,Labrador Retriever,Agassiz
Chewy,Smoushound,West Cambridge
Chewy,Terrier,Cambridgeport
Cheyenne,Labrador Retriever,West Cambridge
Chi,Husky,Mid-Cambridge
Chica,Mix,West Cambridge
Chica,Terrier,The Port
Chica Maria,English Labrador,Cambridgeport
Chi Chi,Maltese Mix,The Port
Chi Chi,Chihuahua,The Port
Chico,Chug,East Cambridge
Chiki,Lab Mix,The Port
Chili,Australian Cattle Dog,The Port
Chili,Australian Cattle Dog,The Port
Chilton,Blue Heeler Mix,Neighborhood Nine
Chingo,American Hairless Terrier,Area 2/MIT
Chip,Australian Shepherd,West Cambridge
Chip,Miniature Poodle,West Cambridge
Chip,Shih Tzu,West Cambridge
Chiquita,Shih Tzu,Neighborhood Nine
Chloe,Chihuahua,East Cambridge
Chloe,Pit Bull,Agassiz
Chloe,Cavalier King Charles Spaniel,Agassiz
Chloe,Cockerpoo,West Cambridge
Chloe,German Shepherd Mix,Cambridgeport
Chloe,Miniature Schnauzer,East Cambridge
Chloe,Tzu-Chon,Neighborhood Nine
Chloe,Chihuahua,West Cambridge
Chloe,Aust Cattle Dog Mix,Strawberry Hill
Chloe,Rhodesian Ridgeback,West Cambridge
Chloe,Ret,North Cambridge
Chloe,Godlen Ret,Mid-Cambridge
Chloe,Border Collie,Mid-Cambridge
Chloe,Schnauzer,East Cambridge
Chloe,Polish Lowland Sheepdog,Wellington-Harrington
Chloe,Pug,North Cambridge
Chloe,Border Colie Mix,The Port
Chloe,Golden Retriever,Neighborhood Nine
Chloe,Soft Coated Wheaten Terrier,East Cambridge
Chloe,Yorksire Terrier,West Cambridge
Chloe,Rhodegian Ridgeback,West Cambridge
Chloe,Golden Retriever,West Cambridge
Chloe,Labrador Retriever,West Cambridge
Choc,German Shorthair Pointer,North Cambridge
Choco,Cavalier King Charles Spaniel Mix,East Cambridge
Choloe,Lab Mix,Cambridgeport
Cholula,Shep,Cambridge Highlands
Chori,Tibetan Terrier,Neighborhood Nine
Chorizo,Pug,Mid-Cambridge
Chowder,Golden Retriever,Riverside
Chowder,Terrier Mix,West Cambridge
Chozen-Zee,Blue Nose American Staffordshire Ter,Cambridge Highlands
Christina,Chihuahua,East Cambridge
Chub,Labrador Retriever,East Cambridge
Chucho,American Hairless Terrier,Area 2/MIT
Chui,Mastiff,West Cambridge
Chula,Italian Greyhould,Cambridgeport
Chunk,Rhodesian Ridgeback,Neighborhood Nine
Chunky,American Bully,Riverside
Chupchick,Shih Tzu,Cambridge Highlands
Churi,Labrador Retriever,West Cambridge
Chuy,Lhasa Apso,East Cambridge
Cici,Long Hair Chihuahua,West Cambridge
Cinco,Chihuahua,East Cambridge
Cinder,Miniature Schnauzer,North Cambridge
Cindy,Jack Russel Terrier,Wellington-Harrington
Cinnamon,Brittany Spaniel,East Cambridge
Cinnamon,Cockerpoo,West Cambridge
Circe,Basenji,Neighborhood Nine
Cisco,Husky,North Cambridge
Cisco,Labradoddle,West Cambridge
C.J.,Doberman,North Cambridge
C.J.,Mix,East Cambridge
C.J.,Newfoundland,West Cambridge
Clancy,Vizsla,Mid-Cambridge
Clara,Shih Tzu,North Cambridge
Clara,Cocker Spaniel,Agassiz
Clarabelle,Swiss Mountain Dog,The Port
Clare,Rhodesian Ridgeback,Cambridgeport
Clarice,Shih Tzu,Riverside
Clark,Long Hair Chihuahua,West Cambridge
Clark,Lab Mix,West Cambridge
Clark,Dachshund,Cambridgeport
Claudio,Cocker Spaniel,Riverside
Clea,Jack Russel Terrier,West Cambridge
Clem,Mix,Cambridgeport
Clementine,Lab/Hound Mix,NA
Clementine,Labrador Retriever,Agassiz
Clementine,Golden - Doodle,Strawberry Hill
Clementine,Bichon Frise,East Cambridge
Clemetine,Golden Retriever,West Cambridge
Cleo,Yorkie Poo,The Port
Cleo,German Sheherd,West Cambridge
Cleo,Labrador Retriever,West Cambridge
Cleve,Standard Poodle,Riverside
Clifford,Poodle,Riverside
Clifford,Toy Poodle,Riverside
Clinton,Shih Tzu,Mid-Cambridge
Clio,Shiloh Shepherd,West Cambridge
Cloe,Lakeland Terrier,The Port
Cloey,Pug,Cambridgeport
Clover,Border Collie Mix,Cambridgeport
Clyde,Miniature Pinscher,West Cambridge
Coal,Terrier,Cambridgeport
Coal,Yorkie Mix,Cambridgeport
Cobalt,Shetland Sheepdog,Cambridge Highlands
Cobalt,Australian Shepherd,West Cambridge
Cobalt,Alapha Blue Blood Bulldog,North Cambridge
Coby,Cavalier King Charles Spaniel,North Cambridge
Coby,Cavalier King Charles Spaniel,North Cambridge
Cochiti,Tibetan Terrier,West Cambridge
Coco,Collie,East Cambridge
Coco,Terrier,Wellington-Harrington
Coco,Mix,West Cambridge
Coco,Labradoddle,West Cambridge
Coco,Pit Bull,Riverside
Coco,Golden Retriever,Cambridgeport
Coco,Chihuahua,Neighborhood Nine
Coco,Shih Tzu,Agassiz
Coco,Poodle,West Cambridge
Coco,Havanese,Cambridgeport
Coco,Terrier Mix,The Port
Coco,Springer Spaniel,Neighborhood Nine
Coco,Chihuahua Mix,Cambridgeport
Coco,French Bulldog,Mid-Cambridge
Coco,Golden Doodle,Neighborhood Nine
Coco,Labrador Retriever,Neighborhood Nine
Coco,Chihuahua Long Haired,North Cambridge
Coco,Boxer,Mid-Cambridge
Coco,Basenji,Cambridgeport
Coco,Maltese,The Port
Cocoa,Weimaramer,Riverside
Cocoa,Cockapoo,The Port
Cocoa,Poodle,The Port
Coco Chanel,West Highland White Terrier,The Port
Cody,Shih Tzu,Wellington-Harrington
Cody,Yorksire Terrier,East Cambridge
Cody,Golden Retriever,North Cambridge
Cody,Cockerpoo,Riverside
Cody,Havanese,East Cambridge
Cody,Shih Tzu,Wellington-Harrington
Cody,Border Collie,The Port
Cody,Norwegian Elkhound,Mid-Cambridge
Cody,Harrier,North Cambridge
Cody,Golden Doodle,Mid-Cambridge
Cody,Mix,North Cambridge
Cola,Husky Mix,Cambridgeport
Cola,Huskey Mixed,Cambridgeport
Colbert,Chihuahua,Neighborhood Nine
Colby,Labrador Retriever,Neighborhood Nine
Colby,Golden Retriever,West Cambridge
Colby,Spaniel,Mid-Cambridge
Colby,Vizsla,Neighborhood Nine
Colby,Cockerpoo,West Cambridge
Compass,Shepherd Mix,Cambridgeport
Connie,Old English Sheepdog,West Cambridge
Connie,Chihuahua Pug,Cambridgeport
Conrad,Airedale Terrier,Mid-Cambridge
Cookie,Labrador Retriever Mix,North Cambridge
Cookie,Yorkie,Mid-Cambridge
Cookie,German Shepherd,East Cambridge
Cookie,Yorksire Terrier,Mid-Cambridge
Cookie,Yorksire Terrier,Cambridgeport
Cookie,Labrador Retriever,North Cambridge
Cooper,Golden Retriever,Cambridgeport
Cooper,Hound Mix,Cambridgeport
Cooper,Maltipoo,West Cambridge
Cooper,Tibetan Terrier,West Cambridge
Cooper,Shetland Sheepdog,West Cambridge
Cooper,Puggle,Riverside
Cooper,Coton De Tulear,West Cambridge
Cooper,Golden Retriever,West Cambridge
Cooper,Tibetan Terrier,West Cambridge
Cooper,Labrador Retriever,Neighborhood Nine
Cooper,Golden Retriever,West Cambridge
Cooper,Golden Doodle,Cambridge Highlands
Cooper,Labrador Retriever,Neighborhood Nine
Cooper,Hound,Strawberry Hill
Cooper,Miniature Australian Shepherd,Mid-Cambridge
Cooper,Mix,North Cambridge
Cooper,Boxer,West Cambridge
Cooper,German Shepherd,Cambridgeport
Cooper,Saint Bernard,Neighborhood Nine
Cooper,Mix,Mid-Cambridge
Copernico,Golden Retriever,East Cambridge
Copernicus,Golden Doodle,The Port
Copper,Beagle Mix,West Cambridge
Copper,German Shepherd,North Cambridge
Copper,Shetland Sheepdog,North Cambridge
Copper,Nova Scotia Duck Tolling Retriever,Cambridge Highlands
Cora,Great Dane,Cambridge Highlands
Cora,Lab Mix,Mid-Cambridge
Corbet,Klee Kai,West Cambridge
Corey,English Cocker Spaniel,West Cambridge
Coriander,Cavalier King Charles Spaniel,Cambridgeport
Corliss,Poodle,Neighborhood Nine
Cortez,Pomeranian,Mid-Cambridge
Cosmo,Labrador Retriever,West Cambridge
Cosmo,French Bulldog,Agassiz
Cosmo,Golden Retriever,Neighborhood Nine
Cosmo,Labrador Retriever,Neighborhood Nine
Cosmo,Chihuahua,The Port
Cricket,Chihuahua,West Cambridge
Crosby,Labradoodle,West Cambridge
Cruella,Brussels Griffon,Cambridgeport
Cuba,Labrador Retriever,North Cambridge
Cupid,Beagle,The Port
Cupid,Lahsa Apso,East Cambridge
Curry,Shiba Inu,North Cambridge
Custos,MIXED,Mid-Cambridge
Cygnet,Australian Shepherd,North Cambridge
Daemon,Boston Terrier,Cambridgeport
Dagwood,Labrador Ret. Mix,Neighborhood Nine
Dahlia,Labrador Retriever,North Cambridge
Dahlia,Labrador Retriever,Strawberry Hill
Daisa,Dachshund,Wellington-Harrington
Daisy,Beagle,The Port
Daisy,Mini Labradoodle,Neighborhood Nine
Daisy,Miniature Poodle,Neighborhood Nine
Daisy,Bichon Frise,Agassiz
Daisy,Chihuahua,Neighborhood Nine
Daisy,Staffordshire Terr,Neighborhood Nine
Daisy,Brussels Griffon,The Port
Daisy,Mix,Cambridgeport
Daisy,YORKIE MIX,The Port
Daisy,Maltese,Mid-Cambridge
Daisy,Lab Mix,North Cambridge
Daisy,Labrador Retriever,North Cambridge
Daisy,Spaniel,Cambridgeport
Daisy,Siberian Husky,North Cambridge
Daisy,Jack Russel Terrier,West Cambridge
Daisy,Boxer,NA
Daisy,Mix,Neighborhood Nine
Daisy,Terrier,Neighborhood Nine
Daisy,Catahoula,North Cambridge
Daisy,Hound Mix,NA
Daisy,Samoyed,Agassiz
Daisy,Hound,Cambridge Highlands
Daisy,Pug,Cambridgeport
Daisy,English Bulldog,West Cambridge
Daisy,Labrador Retriever,Neighborhood Nine
Daisy,Great Dane,Agassiz
Daisy,Siberian Husky,East Cambridge
Daisy,Labrador Retriever,West Cambridge
Daisy,Cockerpoo,Agassiz
Daisy,Labrador Retriever,Mid-Cambridge
Daisy,POODLE MIX,Strawberry Hill
Daisy,Golden Retriever,West Cambridge
Daisy,Chihuahua,Wellington-Harrington
Daisy,Bouvier Des Flandres,West Cambridge
Daisy,Pit Bull,Wellington-Harrington
Daisy,Entlebucher Sennenhund,Neighborhood Nine
Daisy,Beagle,North Cambridge
Daisy,Labrador Retriever,Neighborhood Nine
Daisy,Dalmation,West Cambridge
Daisy,Golden Retriever,Cambridgeport
Daisy,Poodle Mix,North Cambridge
Daisy,Dalmation,West Cambridge
Dakota,Hound,East Cambridge
Dakota,Bernese Mountain Dog,Agassiz
Dakota,Poodle,Cambridge Highlands
Dakota,Portuguese Water Dog,Riverside
Dakota,French Bulldog,East Cambridge
Dale,Airedale Terrier,Cambridgeport
Dalek,Siberian Husky Mix,Riverside
Dali,Miniature Schnauzer,North Cambridge
Dali,Labrador Retriever,East Cambridge
Dalila,Labrador Retriever,West Cambridge
Dallas,Jack Russel Terrier,North Cambridge
Dallas,Cairn Terrier,Neighborhood Nine
Dallas,Chihuahua,The Port
Dandelion,English Shepherd,East Cambridge
Dante,Labrador Retriever,North Cambridge
Dante,Rottweiler,Neighborhood Nine
Dante,Pug,West Cambridge
Dante,Yorksire Terrier,Mid-Cambridge
Dante,Chihuahua,Strawberry Hill
Dante,Chihuahua,Strawberry Hill
Daphne,Miniature Schnauzer,Cambridgeport
Daphne,Basset Hound,The Port
Dapper,Havanese,North Cambridge
Darbie,English Bulldog,West Cambridge
Darby,Labrador Retriever,West Cambridge
Darcy,Miniature Schnauzer,North Cambridge
Darla,Boston Terrier,Wellington-Harrington
Darwin,Cockapoo,Cambridgeport
Darwin,Spaniel,West Cambridge
Darwin,Irish Setter,Wellington-Harrington
Darwin,German Shorthaired Pointer,Cambridge Highlands
Darwin,German Shorthair Pointer,Cambridge Highlands
Darwin,Border Collie,West Cambridge
Darwin,Labradoddle,West Cambridge
Darwin,Poodle,West Cambridge
Darwin,Shih Tzu,Neighborhood Nine
Dash,Springer Spaniel,Cambridgeport
Dash,Silky Terrier,North Cambridge
Dash,Golden Retriever,East Cambridge
Dash,Pug,North Cambridge
Dasher,Boxer,The Port
Da To,Yorkshire Terrier,Wellington-Harrington
Davey,Gordon Setter,West Cambridge
Davinci Skizim,Spaniel,Cambridge Highlands
Dazzle,Jack Russell Terrier,West Cambridge
Dazzle,Jack Russell Terrier,West Cambridge
Deacon,English Springer Spaniel,North Cambridge
Dean,Labrador Retriever,Wellington-Harrington
Dee,Boston Terrier,Agassiz
Delia,Jack Russell Terrier,Mid-Cambridge
Delilah,Lhasa Apso,East Cambridge
Delilah,LABRADOR Retriever,Cambridgeport
Delilah,Dachshund Mix,Neighborhood Nine
Della Wartak,Sato Puerto Rico,Mid-Cambridge
Delta,Beagle,West Cambridge
Delta,Mix,Mid-Cambridge
Delta,Collie,Riverside
Dempsey,Golden Doodle,Agassiz
Denali,Golden Retriever,Cambridge Highlands
Dennis,Dalmation,West Cambridge
Derby,Boxer,NA
Desi,Dachshund,Mid-Cambridge
Desi,Lab/Shep,East Cambridge
Destin,Labrador Retriever,Neighborhood Nine
Dewey,Portuguese Water Dog,Cambridgeport
Dewey,Tibetan Terrier,West Cambridge
Dewey,Boston Terrier,Wellington-Harrington
Dexter,Labrador / Pit Bull,Wellington-Harrington
Dexter,Labrador Retriever,Neighborhood Nine
Dexter,Yorkie Chihuahua Mix,North Cambridge
Dexter,OLDE ENGLISH BULLDOG,East Cambridge
Dexter,Beagle,Cambridgeport
Dexter,Schnauzer,Cambridge Highlands
Dexter,Pug Mix,Neighborhood Nine
Dexter,Shih Tzu,Mid-Cambridge
Dexter,Wheaton Terrier,Strawberry Hill
Dexter,German Shepherd,Neighborhood Nine
Dezi,Havanese,Strawberry Hill
Dharmaja,Labrador Retriever,North Cambridge
Di,Pit Bull,Neighborhood Nine
Diablo,Chi/Terr Mix,East Cambridge
Diamond,Toy Poodle,Wellington-Harrington
Diamond,Rottweiler,Neighborhood Nine
Diego,Labrador Retriever,East Cambridge
Diego,Jack Russell Terrier,Neighborhood Nine
Diesel,Shih - Tzu,The Port
Diesel,American Bulldog,Mid-Cambridge
Diesel,Plott Hound,North Cambridge
Diesel,Shih Tzu Mix,The Port
Diesel,Golden Doodle,Riverside
Diesel,Pit Bull,North Cambridge
Diesel,English Bulldog,Wellington-Harrington
Digby,Lab Retriever Mix,Cambridgeport
Dillon,Golden Retriever,West Cambridge
Dinah,English Bulldog,North Cambridge
Dingo,Chihuahua,Wellington-Harrington
Dingo Dogwood,Carolina Dingo,Mid-Cambridge
Dino,Min Pincher/Rat Terrier,Cambridgeport
Dino,Chihuahua,East Cambridge
Dinsford,Labrador Retriever,The Port
Dior,Pit Bull,East Cambridge
Dipper,Yorkshire Terrier,North Cambridge
Dita Wozniak,Labrador Retriever,West Cambridge
Dits,Cockerpoo,Cambridgeport
Dixie,Beagle Mix,Cambridgeport
Dixie,Terrier,Neighborhood Nine
Dixie,Cairn Terrier,Mid-Cambridge
Dixie,Golden Retriever,Neighborhood Nine
Dixie,Morkie,East Cambridge
Dj,Rhodesian Ridgeback,West Cambridge
D.J.,Rhodesian Ridgeback,West Cambridge
Django,Spaniel,West Cambridge
Django,English Bulldog,Cambridgeport
Django,Bich/Poodle,Strawberry Hill
Django,Mixed Breed,Cambridgeport
Djuna,Labrador Retriever,East Cambridge
Dkoda,Mix,West Cambridge
Dobby,Golden Retriever,Neighborhood Nine
Doctor,Shepherd,Mid-Cambridge
Dodger,Mix,Wellington-Harrington
Dodger,Labrador Retriever,Neighborhood Nine
Dodger,Australian Heeler,Neighborhood Nine
Dodger,Australian Shepherd,Mid-Cambridge
Dodi,Lab Retriever Mix,Strawberry Hill
Dogbeth,Mix,West Cambridge
Doja,Golden Retriever Chow Mix,Wellington-Harrington
Dolce Lee,Siberian Husky,East Cambridge
Dolly,Labrador Retriever,Mid-Cambridge
Dolly,Beagle,West Cambridge
Dolma,Canine,North Cambridge
Domino,Boston Terr,Cambridgeport
Donovan Takacs,Standard Poodle,Riverside
Doobs,Labrador Retriever,Cambridge Highlands
Doodle Stanley,Dachshund,Agassiz
Doogie,Border Terrier Mix,Agassiz
Dora,Bichon Frise,Mid-Cambridge
Dora,Bich/Poodle,Mid-Cambridge
Dora,Dachshund Mix,Mid-Cambridge
Dora,Mix,North Cambridge
Dora,Beagle,Wellington-Harrington
Dora,Brittany Spaniel,West Cambridge
Dori,Rat Terrier,Cambridgeport
Dorothy,American Bulldog,Mid-Cambridge
Dorothy,Pit Bull,The Port
Dot,Pit Bull,Wellington-Harrington
Dottie,Hound Mix,West Cambridge
Dottie,Pit Bull Mix,Cambridge Highlands
Dottie,Shepherd Mix,North Cambridge
Doug,Terrier,West Cambridge
Dover,Border Collie,North Cambridge
Dozer,Pointer,Cambridgeport
Drake,Miniature Schnauzer Mix,North Cambridge
Draper,Golden Retriever,North Cambridge
Dreamer,Bernese Mountain Dog,West Cambridge
Dreamer,Whippet,North Cambridge
Duango,Chihuahua,Riverside
Dublin,Labradoddle,West Cambridge
Dublin,Feist,The Port
Duchess,Hound,North Cambridge
Duchess,Border Collie,Riverside
Duchess,German Shepherd,Agassiz
Ducky,Chihuahua,Cambridgeport
Dudley,Dachshund,NA
Dudu,Miniture Pinscher,Cambridge Highlands
Duffy,Maltese,The Port
Duke,Labrador,North Cambridge
Duke,Golden Retriever,Agassiz
Duke,American Staffordshire Terrier,Mid-Cambridge
Duke,German Shepherd,Cambridgeport
Duke,German Shorthair Pointer,East Cambridge
Duke,Schnauzer,Agassiz
Duke,Mixed,Riverside
Duke,Brittany Spaniel,Mid-Cambridge
Duke,Husky,Riverside
Duke,Dachshund,Wellington-Harrington
Duncan,Scottish Terrier,Neighborhood Nine
Duncan,Golden Retriever,West Cambridge
Duncan,Siberian Husky,Riverside
Duncan,West Highland White Terrier,Mid-Cambridge
Duncan,Labrador Retriever,The Port
Duncan,Great Dane Mix,Mid-Cambridge
Duncan,Golden Doodle,Cambridge Highlands
Duncan,English Bulldog,West Cambridge
Dunkin,Golden Retriever,West Cambridge
Duque,Bichon Frise,Neighborhood Nine
Duro,Siberian Husky,Mid-Cambridge
Dusty,Chihuahua,Strawberry Hill
Dusty,Cocker Spaniel,Cambridgeport
Dusty,Labrador Retriever,Strawberry Hill
Dutch,Boston Terrier,North Cambridge
Dutch,Hound,Neighborhood Nine
Duval,Silky Terrier,The Port
Dwight,Yorksire Terrier,North Cambridge
Dwight,Greyhound,Cambridgeport
Dylan,Golden Retriever,East Cambridge
Dylan,Shep,Riverside
Dynasty,Pit Bull,West Cambridge
Earl Grey,Pit Bull,North Cambridge
Eartha,Cairn Terrier,Mid-Cambridge
Easter,Lab Beagle Mix,North Cambridge
Easy,Labrador Collie Mix,Neighborhood Nine
Ebi,Shiba Inu,East Cambridge
