Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked,Neighborhood
Anna,Yorksire Terrier,"(42.3916601, -71.11951391)",42.3916601,-71.11951391,North Cambridge
Anna,Chihuahua,"(42.36447091, -71.09568502)",42.36447091,-71.09568502,The Port
Annabelle,Boxer,"(42.36799076, -71.10633575)",42.36799076,-71.10633575,Mid-Cambridge
Annabelle,Labrador Retriever Mix,"(42.38503945, -71.12092662)",42.38503945,-71.12092662,Neighborhood Nine
Annie,West Highland White Terrier,"(42.36841514, -71.1014647)",42.36841514,-71.1014647,The Port
Annie,Pit Bull,"(42.36652755, -71.10864396)",42.36652755,-71.10864396,Riverside
Annie,Terrier,"(42.39350585, -71.12915617)",42.39350585,-71.12915617,North Cambridge
Annie,Husky / Mix,"(42.36266957, -71.11062478)",42.36266957,-71.11062478,Cambridgeport
Annie,Corgi,"(42.40030706, -71.13557868)",42.40030706,-71.13557868,North Cambridge
Annie,Dachshund,"(42.39197383, -71.12659083)",42.39197383,-71.12659083,North Cambridge
Annie,Terrier,"(42.3642169, -71.10681576)",42.3642169,-71.10681576,Riverside
Annie,Mixed,"(42.39996408, -71.15176136)",42.39996408,-71.15176136,North Cambridge
Annie,Border Collie,"(42.38453466, -71.12916968)",42.38453466,-71.12916968,Neighborhood Nine
Annie,Coonhound,"(42.38033415, -71.13891091)",42.38033415,-71.13891091,West Cambridge
Annie,Pug,"(42.36640668, -71.10979339)",42.36640668,-71.10979339,Riverside
Annie,Chihuahua Mix,"(42.35981483, -71.1081778)",42.35981483,-71.1081778,Cambridgeport
Annie,Labrador Retriever,"(42.36232919, -71.10310743)",42.36232919,-71.10310743,Cambridgeport
Annie,Rat Terr,"(42.36144498, -71.10843782)",42.36144498,-71.10843782,Cambridgeport
Annie,Pit Bull,"(42.39891276, -71.13727349)",42.39891276,-71.13727349,North Cambridge
Annie/Hildegaard,Dachshund,"(42.40057872, -71.13299876)",42.40057872,-71.13299876,North Cambridge
Annika,German Shepherd,"(42.3812164, -71.13589001)",42.3812164,-71.13589001,West Cambridge
Anubis,Poodle,"(42.39655068, -71.13284382)",42.39655068,-71.13284382,North Cambridge
Anvik,Alaskan Malamute,"(42.37561249, -71.12663841)",42.37561249,-71.12663841,West Cambridge
Anzu,Labrador Retriever,"(42.36802476, -71.10519356)",42.36802476,-71.10519356,Mid-Cambridge
Apache,Terrier,"(42.3760595, -71.12263052)",42.3760595,-71.12263052,West Cambridge
Apollo,Pit Bull Terrier Mix,"(42.38909884, -71.13143063)",42.38909884,-71.13143063,Neighborhood Nine
Apollo,Labradoddle,"(42.37313367, -71.12174544)",42.37313367,-71.12174544,West Cambridge
Apollo,Golden Retriever,"(42.37422704, -71.12581123)",42.37422704,-71.12581123,West Cambridge
Apollo,Pitbull Terrier Mix,"(42.3901804, -71.13235384)",42.3901804,-71.13235384,Neighborhood Nine
Appah,Puli,"(42.36979891, -71.07645517)",42.36979891,-71.07645517,East Cambridge
Apu,Australian Terrier,"(42.38662974, -71.13825507)",42.38662974,-71.13825507,Neighborhood Nine
Archibald,Havanese Mix,"(42.35549861, -71.09954217)",42.35549861,-71.09954217,Area 2/MIT
Archie,Newfoundland,"(42.35745194, -71.11132781)",42.35745194,-71.11132781,Cambridgeport
Archie,Welsh Terrier,"(42.35848251, -71.10757308)",42.35848251,-71.10757308,Cambridgeport
Archie,English Shepherd,"(42.38074069, -71.13658871)",42.38074069,-71.13658871,West Cambridge
Archie,Dachshund,"(42.3861131, -71.11843269)",42.3861131,-71.11843269,Agassiz
Archie,Golden Retriever,"(42.39336286, -71.15393073)",42.39336286,-71.15393073,Cambridge Highlands
Archie,Cockerpoo,"(42.36848587, -71.08081348)",42.36848587,-71.08081348,East Cambridge
Archie,Rat Terrier,"(42.37167816, -71.10318913)",42.37167816,-71.10318913,Mid-Cambridge
Archie Tyrone,Bichon Frise Mix,"(42.39495568, -71.13032464)",42.39495568,-71.13032464,North Cambridge
Argos,Boxer,"(42.3859992, -71.1297877)",42.3859992,-71.1297877,Neighborhood Nine
Argos,English Bulldog,"(42.35797281, -71.11431398)",42.35797281,-71.11431398,Cambridgeport
Argos,Labrador Retriever Mix,"(42.37351266, -71.12323595)",42.37351266,-71.12323595,West Cambridge
Arianna,Poodle,"(42.38364381, -71.13561372)",42.38364381,-71.13561372,West Cambridge
Ariel,Basenji,"(42.38191698, -71.13572993)",42.38191698,-71.13572993,West Cambridge
Arlo,Retr Mix,"(42.36676731, -71.11048403)",42.36676731,-71.11048403,Riverside
Arlo,Jindo,"(42.38148607, -71.11325568)",42.38148607,-71.11325568,Agassiz
Arlo,Golden Retriever,"(42.36830637, -71.09478141)",42.36830637,-71.09478141,Wellington-Harrington
