Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked
Armstrong,Chihuahua,"(42.37291422, -71.07869296)",42.37291422,-71.07869296
Arrow,Poodle,"(42.36088137, -71.11244695)",42.36088137,-71.11244695
Arthur,Belgian Mix,"(42.38240797, -71.12725109)",42.38240797,-71.12725109
Artimiss,Maltese Mix,"(42.361634, -71.10499964)",42.361634,-71.10499964
Arwen,English Setter,"(42.35606044, -71.1111302)",42.35606044,-71.1111302
Arya,Samoyed,"(42.36158199, -71.10750009)",42.36158199,-71.10750009
Arya,Labrador Retriever,"(42.36438876, -71.10482733)",42.36438876,-71.10482733
Arya,Shepherd Mix,"(42.38956963, -71.1481432)",42.38956963,-71.1481432
Arya,Poodle,"(42.39737665, -71.13315849)",42.39737665,-71.13315849
Arya,Border Collie,"(42.39249946, -71.14550587)",42.39249946,-71.14550587
Aser,Labrador Retriever,"(42.39261961, -71.1455781)",42.39261961,-71.1455781
Ash,Golden Retriever,"(42.38627829, -71.13098575)",42.38627829,-71.13098575
Asoka,Chihuahua,"(42.37176754, -71.0942675)",42.37176754,-71.0942675
Asterix,Mi-Ki,"(42.37395266, -71.12212571)",42.37395266,-71.12212571
Astrid,Saluki,"(42.3703489, -71.10158007)",42.3703489,-71.10158007
Astro,Chiuahua Mix,"(42.3900299, -71.12882024)",42.3900299,-71.12882024
Astro,Australian Terrier,"(42.3857239, -71.13736876)",42.3857239,-71.13736876
Astro Kozberg,Maltese,"(42.36128498, -71.10175329)",42.36128498,-71.10175329
Athena,Pug,"(42.36983966, -71.12107483)",42.36983966,-71.12107483
Athena,Maltipoo,"(42.38365026, -71.12693409)",42.38365026,-71.12693409
Athena,Shep,"(42.36608303, -71.09350442)",42.36608303,-71.09350442
Athena,Vizsla,"(42.39103163, -71.13166813)",42.39103163,-71.13166813
Athena Wozniak,Labrador Retreiver,"(42.38308257, -71.13422924)",42.38308257,-71.13422924
Atlas,Great Dane,"(42.37347161, -71.08979945)",42.37347161,-71.08979945
Atlas,Chihuahua,"(42.39288031, -71.1466583)",42.39288031,-71.1466583
Atlas,Cavalier King Charles Spaniel,"(42.35567381, -71.09615435)",42.35567381,-71.09615435
Atom,Terrier Mix,"(42.39493035, -71.14314685)",42.39493035,-71.14314685
Atom,Miniature Schnauzer,"(42.38007678, -71.11937984)",42.38007678,-71.11937984
Atom,Terrier Mix,"(42.39449497, -71.14320044)",42.39449497,-71.14320044
Atticus,Miniature Goldendoodle,"(42.3797619, -71.12086202)",42.3797619,-71.12086202
Aube,Portuguese Water Dog,"(42.38994198, -71.1260253)",42.38994198,-71.1260253
Aubergine,Coonhound Mix,"(42.39868717, -71.13848934)",42.39868717,-71.13848934
Audrey,Border Collie,"(42.39324727, -71.13859425)",42.39324727,-71.13859425
Auggie,Wheaton Terrier,"(42.36127233, -71.10995681)",42.36127233,-71.10995681
Augie,Labrador Retriever Mix,"(42.38080212, -71.12950265)",42.38080212,-71.12950265
Augustus,Bichon Frise,"(42.38038495, -71.11685026)",42.38038495,-71.11685026
Au Lait,Bichon Frise,"(42.36602459, -71.11093184)",42.36602459,-71.11093184
Auri,Whippet,"(42.36134969, -71.10402166)",42.36134969,-71.10402166
Auri,Shep,"(42.39258824, -71.12895258)",42.39258824,-71.12895258
Austin,Labradoddle,"(42.3878202, -71.1255223)",42.3878202,-71.1255223
Austin,Labradoodle,"(42.3865965, -71.12475954)",42.3865965,-71.12475954
Austin,Bichon Frise,"(42.38032708, -71.12582664)",42.38032708,-71.12582664
Autumn,Labrador Retreiver,"(42.37098282, -71.10808939)",42.37098282,-71.10808939
Ava,Yorkie Poo,"(42.39114068, -71.14578371)",42.39114068,-71.14578371
Ava Maria,Redbone Coonhound,"(42.3942617, -71.14744926)",42.3942617,-71.14744926
Avett,Terrier Mix,"(42.38374045, -71.13599165)",42.38374045,-71.13599165
Avie,Feist,"(42.39967486, -71.14048928)",42.39967486,-71.14048928
Axel,Mountain Cur Mix,"(42.38740228, -71.12891575)",42.38740228,-71.12891575
Axel,0,"(42.39986656, -71.15225132)",42.39986656,-71.15225132
Ayanna,Pomeranian,"(42.3919515, -71.14671261)",42.3919515,-71.14671261
Ayla,Aussie Mix,"(42.36676723, -71.08354888)",42.36676723,-71.08354888
Ayler,German Shepherd,"(42.38603394, -71.13292852)",42.38603394,-71.13292852
Azula,Doberman,"(42.3753862, -71.14525495)",42.3753862,-71.14525495
Azulita,Weimaraner Mix,"(42.3726346, -71.0719746)",42.3726346,-71.0719746
Azure,Chihuahua,"(42.39049505, -71.13130703)",42.39049505,-71.13130703
Babette,Miniature Bull Terrier,"(42.36315621, -71.08389335)",42.36315621,-71.08389335
Baby,Pekingese,"(42.37298494, -71.09597403)",42.37298494,-71.09597403
Baby,Bedlington Terr,"(42.37505864, -71.12531019)",42.37505864,-71.12531019
Baby,Chihuahua Dachsund Mix,"(42.3702605, -71.09001795)",42.3702605,-71.09001795
Baby Horace,Shih Tzu Mix,"(42.37282092, -71.12692431)",42.37282092,-71.12692431
Baby Renta,Shih - Tzu,"(42.38609206, -71.13499729)",42.38609206,-71.13499729
Bacca,Australian Cattle Dog,"(42.37922936, -71.12491628)",42.37922936,-71.12491628
Baci,Labrador Retreiver,"(42.36933758, -71.10648659)",42.36933758,-71.10648659
Baci,Corgi,"(42.38079494, -71.1297742)",42.38079494,-71.1297742
Baci,LABRADOR RETREIVER,"(42.37725507, -71.14220178)",42.37725507,-71.14220178
Baeley,Pug,"(42.37134182, -71.12369351)",42.37134182,-71.12369351
Bagel,French Bulldog,"(42.37066266, -71.07318786)",42.37066266,-71.07318786
Bailey,Puggle,"(42.37127821, -71.07377547)",42.37127821,-71.07377547
Bailey,Hound Mix,"(42.37891776, -71.15479651)",42.37891776,-71.15479651
Bailey,Shep,"(42.38452413, -71.13518897)",42.38452413,-71.13518897
Bailey,French Bulldog,"(42.37004998, -71.07748505)",42.37004998,-71.07748505
