ID#,Name,Breed,Transaction,,
1100271,Baby                  ,American Staffordshire Terrier,9/20/2011,,
1100272,Lulu ( Lucy )       ,Harrier,9/21/2011,,
1100273,Jasmine             ,Basenji,9/23/2011,,
1100274,Tinker                 ,Labrador Retriever,9/27/2011,,
1100275,Sugar                 ,American Pit Bull Terrier,9/27/2011,,
1100276,Moose                ,Pit Bull Mix,9/29/2011,,
1100278,June                   ,German Shepherd Dog,10/6/2011,,
1100279,Angus                ,Bloodhound,10/7/2011,,
1100280,Tyson                 ,American Pit Bull Terrier,10/7/2011,,
1100281,Easton               ,Golden Retriever,10/11/2011,,
1100282,Mozzie               ,Poodle Mix,10/11/2011,,
1100283,Charlie               ,Shih Tzu,10/11/2011,,
1100284,Bullseye             ,Rat Terrier,10/18/2011,,
1100285,Cleo                   ,Chow Mix,10/14/2011,,
1100287,Tommy               ,Japanese Chin,10/19/2011,,
1100288,Bella                   ,Lhasa Apso,10/19/2011,,
1100289,Willy                   ,Great Pyrenees,10/20/2011,,
1100290,Special               ,American Pit Bull Terrier,10/24/2011,,
1100291,Tripp                  ,Shepherd Mix,10/24/2011,,
1100292,Meka                  ,Labrador Mix,10/25/2011,,
1100293,Bella                   ,Newfoundland,10/25/2011,,
1100294,Tubby                 ,Rottweiler Mix,10/25/2011,,
1100295,Tazz                   ,American Pit Bull Terrier,2/12/2010,,
1100296,Cinnamon          ,Chihuahua,10/27/2011,,
1100297,Henny                ,Greyhound,10/27/2011,,
1100298,Jackie                ,Labrador Mix,10/28/2011,,
1100299,Hoover               ,Pit Bull Mix,10/28/2011,,
1100300,Lylii                    ,Pekingese,10/31/2011,,
1100301,Hamilton            ,Labrador Retriever,10/31/2011,,
1100302,Melo                   ,Chihuahua,10/31/2011,,
1100303,Minnie                ,Shepherd Mix,11/1/2011,,
1100304,Charlie               ,American Staffordshire Terrier,11/1/2011,,
1100305,Bear                   ,Australian Shepherd,11/1/2011,,
1100306,Sydney               ,Australian Shepherd,11/1/2011,,
1100307,Napoleon           ,Cockapoo,11/1/2011,,
1100308,Keyshia              ,Terrier,11/1/2011,,
1100309,Menace              ,Rottweiler,9/18/2008,,
1100310,Dolce                 ,American Pit Bull Terrier,11/3/2011,,
1100311,Gabanna            ,American Pit Bull Terrier,11/3/2011,,
1100312,Blake                  ,Golden Retriever,11/4/2011,,
1100313,Annabelle           ,Rottweiler,11/7/2011,,
1100314,Bebelle Mayorca,American Pit Bull Terrier,11/9/2011,,
1100315,Appollo               ,Golden Retriever,11/9/2011,,
1100316,Cherokee           ,Rottweiler,11/10/2011,,
1100318,Toby                   ,Shih Tzu,11/14/2011,,
1100319,Sophie               ,Pekingese,11/15/2011,,
1100320,Rocky                 ,Pekingese,11/15/2011,,
1100321,Hazel                 ,Terrier Mix,11/16/2011,,
1100322,Boomer              ,Rottweiler,11/17/2011,,
1100323,Thumper            ,Beagle Mix,11/17/2011,,
1100324,Marley B.           ,Poodle,11/17/2011,,
1100326,Nala                   ,American Pit Bull Terrier,11/21/2011,,
1100327,Bella                   ,American Pit Bull Terrier,11/21/2011,,
1100328,Pokito                 ,Chihuahua,11/22/2011,,
1100329,Teddy                 ,Welsh Terrier,11/22/2011,,
1100330,Lucy                   ,Labrador Retriever,11/23/2011,,
1100331,Brody                 ,Beagle,11/23/2011,,
1100332,Shirley                ,Yorkshire Terrier,11/28/2011,,
1100333,Laverne              ,Yorkshire Terrier,11/28/2011,,
1100334,Gauge                ,Pit Bull Mix,11/28/2011,,
1100336,Chelsey              ,Shepherd Mix,11/30/2011,,
1100337,Morgan              ,German Shepherd Dog,12/2/2011,,
1100338,Turbo                 ,Italian Greyhound,12/2/2011,,
1100339,Sammie             ,Labrador Mix,12/2/2011,,
1100340,Bones                ,Pointer,12/2/2011,,
1100341,Sasha                ,Australian Shepherd- Minature,12/2/2011,,
1100342,Bentley               ,Chihuahua,12/5/2011,,
1100343,Charlie               ,Terrier Mix,5/14/2004,,
1100344,Spenser             ,Chihuahua,12/13/2011,,
1100345,Cheech              ,Chihuahua,12/13/2011,,
1100347,Boy                    ,Labrador Retriever,12/15/2011,,
1100348,Snuggle             ,Poodle,12/20/2011,,
1100349,Miss Penny Lane               ,American Pit Bull Terrier,12/20/2011,,
